model_name,split,profession,P(gb),P(sp)
mlp_mod_1000,test,artist,0.0120381618685582,0.415799705640358
mlp_mod_1000,test,doctor,0.0379117091241128,0.4262132764629581
mlp_mod_1500,validation,soldier,0.011342536931967,0.343623444383197
mlp_mod_1500,validation,engineer,0.011265325551743,0.3383660473970367
mlp_mod_1500,validation,social worker,0.0175110886202139,0.3469989976900465
mlp_mod_1500,validation,florist,0.0116497205351205,0.3507369351847207
mlp_mod_1500,validation,lawyer,0.015522014349699,0.3428094597423778
mlp_mod_1500,validation,journalist,0.0246815749389283,0.3414135522702161
mlp_mod_1500,test,firefighter,0.0076948864495053,0.3501227721571922
mlp_mod_1500,test,mechanic,0.0123533888665192,0.3502054975422866
mlp_mod_1500,test,makeup artist,0.0169774075312649,0.3513241657329833
mlp_mod_1500,test,nurse,0.0428728311158278,0.359310630161096
mlp_mod_1500,test,artist,0.0260207258603152,0.345931151881814
mlp_mod_1500,test,doctor,0.0074776701957863,0.3657106240553891
mlp_mod_2000,validation,soldier,0.0146127203479409,0.4042159337002565
mlp_mod_2000,validation,engineer,0.0103639469701139,0.3895254018168677
mlp_mod_2000,validation,social worker,0.0235157912487492,0.4087760513100554
mlp_mod_2000,validation,florist,0.0178950583452687,0.4025629643789109
mlp_mod_2000,validation,lawyer,0.0121956429827739,0.3984550618402221
mlp_mod_2000,validation,journalist,0.0292965049910194,0.4117501407642575
mlp_mod_2000,test,firefighter,0.0089880140936549,0.4017651077798184
mlp_mod_2000,test,mechanic,0.024324948022909,0.393297813120572
mlp_mod_2000,test,makeup artist,0.0255341098698623,0.4012169902048567
mlp_mod_2000,test,nurse,0.0389529819709851,0.4068420620580368
mlp_mod_2000,test,artist,0.0249963437261826,0.4050752921029925
mlp_mod_2000,test,doctor,0.0091738578151254,0.4053152343806098
mlp_mod_2500,validation,soldier,0.0130010361180585,0.3617507999434191
mlp_mod_2500,validation,engineer,0.0123633152312215,0.3587881341467009
mlp_mod_2500,validation,social worker,0.0240885265828932,0.3661837478113525
mlp_mod_2500,validation,florist,0.0193948890356456,0.3731920118717586
mlp_mod_2500,validation,lawyer,0.0191348836045054,0.3577553535647252
mlp_mod_2500,validation,journalist,0.032095087089521,0.3619132178342518
mlp_mod_2500,test,firefighter,0.0103673378334325,0.371440593372373
mlp_mod_2500,test,mechanic,0.0149173327886006,0.3579783076968263
mlp_mod_2500,test,makeup artist,0.0251449863700305,0.3721600328298176
mlp_mod_2500,test,nurse,0.0478299644720904,0.370879891602432
mlp_mod_2500,test,artist,0.0236322607516365,0.3581686949576525
mlp_mod_2500,test,doctor,0.0112751363502705,0.375446265179883
mlp_mod_3000,validation,soldier,0.0165958969908602,0.3521808071390671
mlp_mod_3000,validation,engineer,0.0084833393749945,0.346325166961726
mlp_mod_3000,validation,social worker,0.0126387864241705,0.3533249012578059
mlp_mod_3000,validation,florist,0.0077146586468991,0.3527934092151768
mlp_mod_3000,validation,lawyer,0.008676883928916,0.3482724707573652
mlp_mod_3000,validation,journalist,0.0130065725020626,0.3541206081452615
mlp_mod_3000,test,firefighter,0.0068777445977663,0.3605051988681011
mlp_mod_3000,test,mechanic,0.0154156790607992,0.3569227178197573
mlp_mod_3000,test,makeup artist,0.0151473722037147,0.3619322231148972
mlp_mod_3000,test,nurse,0.030175783260561,0.3542798745774609
mlp_mod_3000,test,artist,0.0129692008280578,0.3540406744817601
mlp_mod_3000,test,doctor,0.0080386498833403,0.369576804120751
mlp_mod_3500,validation,soldier,0.0201874920988784,0.3609445283518118
mlp_mod_3500,validation,engineer,0.0105727329192792,0.3588894504834624
mlp_mod_3500,validation,social worker,0.0137221741983119,0.3638345900484744
mlp_mod_3500,validation,florist,0.00970594080932,0.3644811066196245
