model_name,split,profession,P(gb),P(sp)
att_mod_10000,validation,social worker,0.0174769438803195,0.3390358443238905
att_mod_10000,validation,florist,0.0154626329828585,0.3311331630019204
att_mod_10000,validation,lawyer,0.0154409294415797,0.3659230260178446
att_mod_10000,validation,journalist,0.0161955972069076,0.3425086645941649
att_mod_10000,test,firefighter,0.0189115703630615,0.3283984055611449
att_mod_10000,test,mechanic,0.0242655071574197,0.3250881170617862
att_mod_10000,test,makeup artist,0.028772813700874,0.342074964143021
att_mod_10000,test,nurse,0.0242899561064763,0.33788741602969
att_mod_10000,test,artist,0.0221074648253934,0.3489908973463404
att_mod_10000,test,doctor,0.0224208096435792,0.3396938214681937
att_mod_10500,validation,soldier,0.0173238324267523,0.3414938870817423
att_mod_10500,validation,engineer,0.0145078993269375,0.3371600969029324
att_mod_10500,validation,social worker,0.0167309980573398,0.3230742718226143
att_mod_10500,validation,florist,0.0151204343086906,0.3240503422649843
att_mod_10500,validation,lawyer,0.0138288558327725,0.3462909458737288
att_mod_10500,validation,journalist,0.0155797992966004,0.3329133529216051
att_mod_10500,test,firefighter,0.0175473327473015,0.3186444337414184
att_mod_10500,test,mechanic,0.0221667274780256,0.3146745363958704
att_mod_10500,test,makeup artist,0.0275744994393956,0.3449691440385412
att_mod_10500,test,nurse,0.0213506625519252,0.3253363421003163
att_mod_10500,test,artist,0.019099493209325,0.3366904596627598
att_mod_10500,test,doctor,0.021468246250715,0.3271137247465446
att_mod_11000,validation,soldier,0.0175676281963075,0.3502875353608812
att_mod_11000,validation,engineer,0.0144887992846114,0.3447121376969984
att_mod_11000,validation,social worker,0.0171652856415935,0.3264162331021258
att_mod_11000,validation,florist,0.0142780672226633,0.3263364680111408
att_mod_11000,validation,lawyer,0.0143674674843038,0.3520368139658655
att_mod_11000,validation,journalist,0.0152786144454564,0.3351304470162306
att_mod_11000,test,firefighter,0.0173478546014554,0.3256838614724471
att_mod_11000,test,mechanic,0.0220237313572999,0.3209770978625181
att_mod_11000,test,makeup artist,0.0266333973218857,0.3413288712396588
att_mod_11000,test,nurse,0.0215335329601042,0.3323457454869025
att_mod_11000,test,artist,0.019234620297039,0.3418287315314084
att_mod_11000,test,doctor,0.0208381041884422,0.3311275674528639
att_mod_11272,validation,soldier,0.0171819168808204,0.3472771670935409
att_mod_11272,validation,engineer,0.0142531394426311,0.3403149974665471
att_mod_11272,validation,social worker,0.0167262790724635,0.3228112497766103
att_mod_11272,validation,florist,0.0145269479602575,0.3233990042869534
att_mod_11272,validation,lawyer,0.0145249603316187,0.3484085568093827
att_mod_11272,validation,journalist,0.0149004665336438,0.3318475252815655
att_mod_11272,test,firefighter,0.0170835102055694,0.3210697355352237
att_mod_11272,test,mechanic,0.022080827478162,0.316376216840786
att_mod_11272,test,makeup artist,0.0261068267511649,0.336648706031937
att_mod_11272,test,nurse,0.0211736122015076,0.3283503316605175
att_mod_11272,test,artist,0.0187697120692948,0.3373724453308632
att_mod_11272,test,doctor,0.0204941816365634,0.3283898882095662
mlp_mod_500,validation,soldier,0.020551488654954,0.3409792571195534
mlp_mod_500,validation,engineer,0.0171673257436071,0.3275058394564049
mlp_mod_500,validation,social worker,0.0255547461898199,0.3283471214318914
mlp_mod_500,validation,florist,0.0473387718200683,0.3478909686207771
mlp_mod_500,validation,lawyer,0.0200743669111813,0.3261641791622554
mlp_mod_500,validation,journalist,0.0217898862436413,0.3385992841262902
mlp_mod_500,test,firefighter,0.0271795717868166,0.295982105998506
mlp_mod_500,test,mechanic,0.0288720694042637,0.2731273824244108
mlp_mod_500,test,makeup artist,0.0394501831828498,0.2852955916109429
mlp_mod_500,test,nurse,0.0361910063878331,0.2919990847175809
mlp_mod_500,test,artist,0.0306048613094108,0.2981773905561004
mlp_mod_500,test,doctor,0.0248269409623364,0.2910239680499678
mlp_mod_1000,validation,soldier,0.0377701410225459,0.3879027007413761
mlp_mod_1000,validation,engineer,0.0255523839965462,0.3833131853224976
mlp_mod_1000,validation,social worker,0.0220579833058374,0.3902358704645718
mlp_mod_1000,validation,florist,0.0283415567662034,0.3751354189323527
mlp_mod_1000,validation,lawyer,0.0267305114705647,0.3849757658849869
mlp_mod_1000,validation,journalist,0.0215937547917876,0.3896959557064942
mlp_mod_1000,test,firefighter,0.0289514443876457,0.350423897367338
mlp_mod_1000,test,mechanic,0.0404622277349863,0.3351478526421206
mlp_mod_1000,test,makeup artist,0.0290392106923628,0.3150006468525865
mlp_mod_1000,test,nurse,0.037801180585799,0.347293203066982
mlp_mod_1000,test,artist,0.0292154822865842,0.3432084684010962
mlp_mod_1000,test,doctor,0.0289890178492371,0.3342436054118082
mlp_mod_1500,validation,soldier,0.0184389319004757,0.3206765980326703
mlp_mod_1500,validation,engineer,0.0123213171692831,0.2985261870548129
mlp_mod_1500,validation,social worker,0.0141290440357157,0.3135678012722305
mlp_mod_1500,validation,florist,0.0180902272728937,0.3174970756417938
mlp_mod_1500,validation,lawyer,0.0134063052013516,0.2998623605551464
mlp_mod_1500,validation,journalist,0.0129397088927882,0.2932797108377729
mlp_mod_1500,test,firefighter,0.019946882593065,0.2953793394812186
mlp_mod_1500,test,mechanic,0.020863138926281,0.2849564415888047
mlp_mod_1500,test,makeup artist,0.0237605778343031,0.2768566606986061
